Sample Clone.ID
W218 56
W242 6
W243 15
W171 42
W172 14
W173 4
W174 19
W192 43
W121 34
W216 48
W217 30
W111 7
W112 23
W248 5
W255 29
W257 3
W262 44
WH01 18
WH02 47
W202 38
W222 22
W224 28
W226 20
W290 2
W291 41
W114 12
W012 17
W013 49
W022 16
W015 8
W020 8
W021 8
W017 37
W018 27
W294 39
W237 31
W270 40
W199 10
W188 24
W116 35
W117 35
W118 35
W119 35
W115 46
W283 26
W284 26
W287 45
W288 32
W106 13
W107 33
W108 21
W109 21
W105 11
W189 1
W190 36
W204 9
W205 25
W209 25
W210 25
W211 25
F27 55
N104 55
N006 54
N007 51
N008 51
N009 50
N123 53
N127 52
501_8 55
509_7 52
CP01 50
CP02 51
CP03 53
CP04 53
CP05 53
CP06 51
CP07 51
CP08 51
CP09 51
