ID,Phmi01A,Phmi01B,Phmi02A,Phmi02B,Phmi03A,Phmi03B,Phmi05A,Phmi05B,Phmi07A,Phmi07B,Phmi08A,Phmi08B,Phmi09A,Phmi09B,Phmi10A,Phmi10B,Phmi13A,Phmi13B,Phmi14A,Phmi14B,Phmi17A,Phmi17B,Phmi20A,Phmi20B,Phmi23A,Phmi23B,Phmi24A,Phmi24B
218,088,088,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,160,160,220,220,288,288,307,307,313,313
242,088,091,103,103,106,112,104,104,128,135,139,141,146,146,142,142,151,157,154,154,218,220,284,288,307,307,313,313
243,088,091,101,105,106,112,104,104,122,127,135,135,146,148,142,142,154,157,160,166,218,220,284,288,307,307,313,317
171,088,088,101,101,106,109,104,104,134,135,135,141,146,146,133,133,160,160,154,170,213,213,284,284,307,310,313,315
172,088,091,101,105,106,112,104,106,126,128,135,139,146,146,142,142,157,160,154,154,218,218,284,288,307,310,313,315
173,088,088,103,105,106,109,104,104,128,128,135,135,146,146,142,142,151,160,154,154,218,218,286,288,307,310,313,313
174,088,091,101,103,106,112,102,104,128,134,135,139,148,148,142,142,151,154,163,169,213,213,284,284,307,307,313,313
192,088,091,101,101,106,109,104,104,126,128,135,139,146,148,142,142,151,157,160,166,213,221,288,292,307,307,313,313
121,088,088,101,101,106,106,102,102,159,159,141,141,148,148,142,142,166,166,160,160,218,218,284,284,307,307,313,313
216,088,088,101,101,109,109,104,104,128,128,135,135,146,146,145,145,160,160,142,142,220,220,288,288,307,307,309,309
217,088,088,101,101,112,112,104,104,127,127,135,135,146,146,145,145,175,175,160,160,220,220,288,288,307,307,313,313
111,088,091,103,103,106,106,104,104,126,128,135,135,146,148,142,142,154,160,154,166,218,230,284,288,307,307,313,313
112,088,091,101,103,106,109,104,104,128,128,139,139,146,146,142,142,151,157,154,160,213,219,284,284,307,310,313,313
248,088,088,103,103,112,112,104,104,128,128,135,135,146,146,145,145,154,157,154,154,218,230,284,284,307,307,321,321
255,091,091,101,101,112,112,104,104,126,126,135,135,146,146,142,142,157,157,163,163,234,234,284,284,307,307,313,313
257,088,088,099,103,109,112,104,104,126,135,135,141,146,148,145,145,151,157,154,154,218,225,288,288,307,307,315,315
